NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04693585,Development and Pilot Test of a Postnatal mHealth Intervention - Phase 2,https://clinicaltrials.gov/study/NCT04693585,Completed,"Health Attitude|Knowledge, Attitudes, Practice|Post Partum Depression|Acceptability of Health Care",BEHAVIORAL: MESSSSAGE - live|BEHAVIORAL: MESSSSAGE - asynchronous,"University of California, San Francisco","University of California, Los Angeles|Post Graduate Institute of Medical Education and Research, Chandigarh|Indraprastha Institute of Information Technology Delhi|Survival for Women and Children Foundation|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)",INTERVENTIONAL
NCT04692753,Effect of Education of Health Care Workers on the Maintenance of Venous Access Devices,https://clinicaltrials.gov/study/NCT04692753,Unknown,Vascular Access Devices,OTHER: Training and education,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,OBSERVATIONAL
NCT04692558,Effect of Hyaluronic Acid on Gingival Recession Treatment,https://clinicaltrials.gov/study/NCT04692558,Unknown,Gingival Recession,BIOLOGICAL: HYALURONIC ACID|PROCEDURE: coronally advanved flap with connective tissue harvesting,Krishnadevaraya College of Dental Sciences & Hospital,Not available,INTERVENTIONAL
NCT04691921,Current Pharmacological Practices in Severe COVID-19,https://clinicaltrials.gov/study/NCT04691921,Completed,COVID-19,BEHAVIORAL: Current clinical practices of participating physicians,NMC Specialty Hospital,Not available,OBSERVATIONAL
NCT04690556,"Study to Compare Efficacy, Safety, and Immunogenicity of LUBT010 (Proposed Ranibizumab Biosimilar) and Lucentis® in Patients With Neovascular AMD",https://clinicaltrials.gov/study/NCT04690556,Completed,Neovascular Age-related Macular Degeneration,DRUG: LUBT010 (proposed ranibizumab biosimilar)|DRUG: Lucentis (ranibizumab),Lupin Ltd.,Not available,INTERVENTIONAL
NCT04689126,Effect of Cone Beam Computed Tomography on Diagnostic and Therapeutic Decision Making,https://clinicaltrials.gov/study/NCT04689126,Completed,Diagnoses Disease,PROCEDURE: surgical or nonsurgical endodontic treatment,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT04688086,A Prospective Study to Evaluate Clinical Performance of Thermalytix in Detecting Breast Cancers,https://clinicaltrials.gov/study/NCT04688086,Completed,Breast Cancer|Early Detection of Cancer,DIAGNOSTIC_TEST: Thermalytix,Niramai Health Analytix Private Limited,Max Healthcare Insititute Limited,OBSERVATIONAL
NCT04685161,Comparison of Surgical Extrusion vs. Fibre Post Restoration for Crown-root Fractured Maxillary Incisors.,https://clinicaltrials.gov/study/NCT04685161,Unknown,Fractured Tooth,PROCEDURE: Surgical extrusion|DEVICE: Fibre post,Tamil Nadu Dr.M.G.R.Medical University,Not available,INTERVENTIONAL
NCT04684524,Dupilumab in Allergic Fungal Rhinosinusitis (AFRS) (LIBERTY-AFRS-AI),https://clinicaltrials.gov/study/NCT04684524,Completed,Allergic Fungal Rhinosinusitis,DRUG: Dupilumab SAR231893|DRUG: Placebo,Sanofi,Regeneron Pharmaceuticals,INTERVENTIONAL
NCT04684407,C-reactive Protein Levels in Acute Apical Abscess Due to Root Canal Infection,https://clinicaltrials.gov/study/NCT04684407,Unknown,Dentoalveolar Abscess,PROCEDURE: ROOT CANAL TREATMENT,"CSI College of Dental Sciences and Research, Madurai",Not available,INTERVENTIONAL
NCT04681066,A Study of Auxora in Patients With Acute Pancreatitis and Accompanying SIRS,https://clinicaltrials.gov/study/NCT04681066,Completed,Acute Pancreatitis|Systemic Inflammatory Response Syndrome,DRUG: CM-4620 Injectable Emulsion or CM-4620-IE|OTHER: Placebo,"CalciMedica, Inc.",Not available,INTERVENTIONAL
NCT04679571,Efficacy of Targeted And Response-Guided Albumin Therapy Versus Standard Medical Treatment In Outcomes Of Recurrent Ascites In Patients With Decompensated Cirrhosis.,https://clinicaltrials.gov/study/NCT04679571,Unknown,Decompensated Cirrhosis,BIOLOGICAL: Albumin|DRUG: Standard Medical Treatment,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
