NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07465471,Carvedilol and Midodrine Versus Carvedilol Alone in Preventing Early Rebleed in Patients With Cirrhosis.,https://clinicaltrials.gov/study/NCT07465471,Not Yet Recruiting,Liver Cirrhosis,DRUG: Carvedilol|DRUG: Midodrine Oral Product,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT07465211,Comparative Evaluation of Clinical Success of BIOFLX Crowns and SSC in Primary Molars,https://clinicaltrials.gov/study/NCT07465211,Completed,Dental Caries|Restored Decayed Teeth and Post-operative Sensitivity,PROCEDURE: US Public Health Service modified criteria|PROCEDURE: The parental satisfaction,satish vishwanathaiah,Not available,INTERVENTIONAL
NCT07461649,Pharmacokinetic Study of Eicosapentaenoic Acid (EPA) and Calcium L-5-Methyltetrahydrofolate (L-5-MTHF) After Administration of CreNeuros® CNS Fish Oil Plus Softgels in Healthy Subjects Under Fasting Conditions,https://clinicaltrials.gov/study/NCT07461649,Not Yet Recruiting,Bioavailability and Pharmacokinetics,DIETARY_SUPPLEMENT: Eicosapentaenoic Acid (EPA) and Calcium L-5-Methyltetrahydrofolate (L-5-MTHF),"Sichuan Credit Pharmaceutical Co., Ltd.",Not available,INTERVENTIONAL
NCT07459543,"A Study To Assess the Safety, and Tolerability of Nivolumab + Relatlimab Fixed-Dose Combination (FDC) In Untreated, Unresectable or Metastatic Melanoma Participants In India",https://clinicaltrials.gov/study/NCT07459543,Not Yet Recruiting,Untreated Melanoma|Unresectable Melanoma|Metastatic Melanoma,DRUG: Nivolumab + Relatlimab,Bristol-Myers Squibb,Not available,INTERVENTIONAL
NCT07455097,COMBINED PSMA-PET/CT AND MRI STAGING IN INTERMEDIATE AND HIGH-RISK PATIENTS PROSTATA-CANCER (COMBINE-P),https://clinicaltrials.gov/study/NCT07455097,Active Not Recruiting,Intermediate-risk Prostate Cancer|High-risk Prostate Cancer,DIAGNOSTIC_TEST: PSMA-11,"Heinrich-Heine University, Duesseldorf","Marienhospital Herne|San Raffaele University Hospital, Italy|Lund University Hospital|KU Leuven|Fortis Hospital, India|University of Bern|Erasmus Medical Center|Universität Tübingen|Medical University of Vienna|European Association of Urology Research Foundation|University Hospital, Paris|Ludwig-Maximilians - University of Munich",OBSERVATIONAL
NCT07454772,Antibiotics vs Corticosteroids in Treatment of Granulomatous Lobular Mastitis,https://clinicaltrials.gov/study/NCT07454772,Not Yet Recruiting,Granulomatous Mastitis,DRUG: Steroid|DRUG: Antibiotic,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT07453472,Comparison of Topical Photodynamic Therapy With Topical Calcipotriol in Management of Oral Leukoplakia,https://clinicaltrials.gov/study/NCT07453472,Not Yet Recruiting,Oral Leukoplakia,OTHER: Non-invasive Photo Dynamic Therapy using LED of wavelength ranging from 630-660nm( Fluence 15 J/cm2) as light source and 2.5% TB as photosensitizer|DRUG: Topical application of Calcipotriol ointment 0.005% twice a day for 4 weeks along with preventive and conventional therapy|OTHER: Conventional non-invasive management : All subjects in the two groups will receive the same standard conventional non- invasive management advised for OL as per current scientific evidence,Dr. Shalini Gupta,All India Institute of Medical Sciences,INTERVENTIONAL
NCT07452757,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers,https://clinicaltrials.gov/study/NCT07452757,Completed,Overweight (BMI > 25),DIETARY_SUPPLEMENT: Arm II|DIETARY_SUPPLEMENT: Arm III|DIETARY_SUPPLEMENT: Arm IV,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07452744,Efficacy and Safety of Picroliv in Patients With Non-Alcoholic Fatty Liver Disease,https://clinicaltrials.gov/study/NCT07452744,Enrolling By Invitation,Non Alcholic Fatty Liver Disease,DRUG: Picroliv|OTHER: Placebo,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07452068,Comparison of Intrasinus and Extrasinus Approach for the Placement of Zygomatic Implants in Severely Resorbed Edentulous Maxillary Arch Using Zygomatic Success Code - An In-Vivo Study,https://clinicaltrials.gov/study/NCT07452068,Not Yet Recruiting,Implant Stability,PROCEDURE: ZYGOMATIC IMPLANT KIT,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07446010,Post Approval Observational Study to Learn More About How Safe Octocog Alfa is and How Well it Works in Patients With Severe Hemophilia A in India,https://clinicaltrials.gov/study/NCT07446010,Not Yet Recruiting,Severe Hemophilia A,DRUG: Octocog alfa,Bayer,Not available,OBSERVATIONAL
NCT07445620,Comparison of Accelerated Intermittent Theta Burst Stimulation vs High Frequency Transcranial Magnetic Stimulation (Hf-rTMS) on Cognitivesymptoms in Treatment-resistant Schizophrenia,https://clinicaltrials.gov/study/NCT07445620,Not Yet Recruiting,Psychosis|Schizophrenia Disorder,DEVICE: Accelerated iTBS|DEVICE: High-Frequency rTMS|DEVICE: Sham rTMS,"All India Institute of Medical Sciences, Bhubaneswar",Indian Council of Medical Research,INTERVENTIONAL
NCT07442097,Safe-Age Study: A Safety and Tolerability Study of a Nutritional Supplement in Healthy Older Adults,https://clinicaltrials.gov/study/NCT07442097,Recruiting,"Aging, Healthy",DIETARY_SUPPLEMENT: Youniqor,YOXLO B.V.,Vedic Lifesciences Pvt. Ltd.,INTERVENTIONAL
NCT07441824,Pancreatic Enzyme Replacement in Acute Necrotizing Pancreatitis,https://clinicaltrials.gov/study/NCT07441824,Not Yet Recruiting,Acute Necrotizing Pancreatitis|Pancreatic Exocrine Insufficiency,DRUG: Pancreatic enzyme capsules|DRUG: Placebo,"Asian Institute of Gastroenterology, India",Not available,INTERVENTIONAL
NCT07440602,From FAST to FAST BEE - Video-Based Stroke Mnemonic Pilot,https://clinicaltrials.gov/study/NCT07440602,Recruiting,Healthy,OTHER: FAST BEE Stroke Education Video (1 minute 51 seconds),Jubilee Mission Medical College and Research Institute,Not available,INTERVENTIONAL
NCT07439692,ICU-related Out of Pocket Expenses (ICOPE),https://clinicaltrials.gov/study/NCT07439692,Recruiting,Cost of ICU|Out of Pocket Expenses,Not available,Nat Intensive Care Surveillance - MORU,"Mahidol Oxford Tropical Medicine Research Unit|Nepal Intensive Care Research Foundation|Critical Care Society of Kenya|Research, Education And Criticalcare Health Trust, Pakistan|Association of Anesthesiologists of Uganda (AAU)|Kumasi Centre for Collaborative Research in Tropical Medicine (KCCR)|Doctors with Africa - CUAMM",OBSERVATIONAL
NCT07438444,A Study of Tirzepatide (LY3298176) in Adult Participants in India With Either Type 2 Diabetes Mellitus or Obesity,https://clinicaltrials.gov/study/NCT07438444,Not Yet Recruiting,"Diabetes Mellitus, Type 2|Obesity|Overweight",DRUG: Tirzepatide,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07436988,Affordable Made-in-India Microspheres for Liver Cancer Therapy,https://clinicaltrials.gov/study/NCT07436988,Not Yet Recruiting,Hepatecellular Carcinoma,DEVICE: 90Y-Theraspheres|DEVICE: 188Re-Microspheres,"Post Graduate Institute of Medical Education and Research, Chandigarh",Indian Council of Medical Research,INTERVENTIONAL
NCT07436546,Prospective Evaluation of Efficacy of Tumescent Steroid Infiltration in Mandibular Third Molar Surgery: a Split Mouth Randomized Study,https://clinicaltrials.gov/study/NCT07436546,Completed,Impacted Third Molar|Impacted Third Molar Tooth|Third Molar Extraction|Third Molar Extraction Surgery,"DRUG: Tumescent Infiltration (dexamethasone, bupivacaine, adrenaline, hyaluronidase, saline)|DRUG: 2% lignocaine with adr (1:2,00,000)",Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07436104,Mortality Control Program for Economically Productive Age Group in Tribal Area of Melghat.,https://clinicaltrials.gov/study/NCT07436104,Completed,Hypertension (HTN)|Diarrhea|Pneumonia|Malaria Fever|COPD|Asthma (Diagnosis)|Diarrhea Chronic,"COMBINATION_PRODUCT: Trained village health workers (VHWs) , provided treatment of HTN, diarrhoea, malaria, pneumonia, asthma and COPD by Amlodipine, ORS, Norfloxacin, Chloroquine, Azithromycin, salbutamol rotacaps|OTHER: Appropriate referral",MAHAN Trust,"Caring Friends, Mumbai|Stitchting Geron, The Netherland|Mastek Foundation|Tribal Development Department, Government of India",INTERVENTIONAL
NCT07435623,Late Radiation Toxicities in Cervical and Endometrial Cancer: A Postoperative IMRT/Brachytherapy Study,https://clinicaltrials.gov/study/NCT07435623,Recruiting,Endometrial Cancer|Cervix Cancer,Not available,Tata Memorial Hospital,Not available,OBSERVATIONAL
NCT07433881,Serosurvey of HAV Immunity and Single-dose Vaccine Immunogenicity Among Patients With Cirrhosis,https://clinicaltrials.gov/study/NCT07433881,Not Yet Recruiting,Liver Cirrhosis,Not available,"Institute of Liver and Biliary Sciences, India",Not available,OBSERVATIONAL
NCT07432893,Assessing the Effectiveness of Large Language Model (LLM)-Enabled Nurse Treatment Planning in 2 Indian Districts,https://clinicaltrials.gov/study/NCT07432893,Recruiting,Hypertension|Diabete Mellitus|Breathlessness|Fever,OTHER: AI-enabled clinical decision support tool (software) used by nurses|OTHER: Physician consultation,Sarah Nabia,"Liver Foundation, West Bengal|Endless Health",INTERVENTIONAL
NCT07431983,Prospective Evaluation of the Carbon Footprint and Clinical Utility of IBUS Compared to Colonoscopy and Enterography in UC and CD,https://clinicaltrials.gov/study/NCT07431983,Recruiting,Ulcerative Colitis (UC)|Crohns Disease,Not available,"Asian Institute of Gastroenterology, India",Not available,OBSERVATIONAL
NCT07431281,"Sonesitatug Vedotin in Combination With Capecitabine With or Without Rilvegostomig in Participants With Advanced or Metastatic Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma Expressing Claudin18.2",https://clinicaltrials.gov/study/NCT07431281,Recruiting,Gastric Cancer|Gastroesophageal Junction Adenocarcinoma|Esophageal Cancer,DRUG: Sonesitatug vedotin|DRUG: Rilvegostomig|DRUG: Nivolumab|DRUG: Capecitabine|DRUG: 5-Fluorouracil|DRUG: Oxaliplatin|DRUG: Zolbetuximab|DRUG: Leucovorin,AstraZeneca,Not available,INTERVENTIONAL
NCT07422948,Efficacy and Safety of Early Initiation of Midodrine for Control and Prevention of Ascites and Its Related Complications in Acute-on-chronic Liver Failure.,https://clinicaltrials.gov/study/NCT07422948,Not Yet Recruiting,Acute on Chronic Liver Failure,DRUG: Midodrine|OTHER: Standard Medical Treatment,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT07422480,"A Study to Compare Elritercept With Epoetin Alfa to Treat Anemia in Adults With Very Low, Low, or Intermediate Risk Myelodysplastic Syndromes (MDS) Who Need Regular Blood Transfusions",https://clinicaltrials.gov/study/NCT07422480,Recruiting,Myelodysplastic Syndrome|Anemia,DRUG: Elritercept|DRUG: Epoetin Alfa,Takeda,Not available,INTERVENTIONAL
NCT07420634,Multilevel Ecological and COM-B Determinants of Medication Adherence in Adults With Diabetes,https://clinicaltrials.gov/study/NCT07420634,Recruiting,Diabetes Mellitus|Diabetes Mellitus Type 2|Medication Adherence,OTHER: Multilevel Ecological Determinants of Medication Adherence,University of Malaya,Maharishi Markendeswar University (Deemed to be University),OBSERVATIONAL
NCT07419152,Effect of Yoga in Chronic Insomnia,https://clinicaltrials.gov/study/NCT07419152,Recruiting,Chronic Insomnia,BEHAVIORAL: Yoga-intervention|BEHAVIORAL: Stretching Exercises,All India Institute of Medical Sciences,"Department of Science and Technology, Government of India",INTERVENTIONAL
NCT07418008,The Liver Cirrhosis Cognitive Decline Scale (LiCCoS),https://clinicaltrials.gov/study/NCT07418008,Recruiting,Liver Cirrhosis|Cognitive Dysfunction|Hepatic Encephalopathy|Neurocognitive Disorders,Not available,University of Malaya,Maharishi Markendeswar University (Deemed to be University),OBSERVATIONAL
NCT07415044,LY4268989 in Adults With Moderately to Severely Active Ulcerative Colitis,https://clinicaltrials.gov/study/NCT07415044,Not Yet Recruiting,"Ulcerative Colitis (UC)|Ulcerative Colitis, Active Moderate|Ulcerative Colitis, Active Severe",DRUG: LY4268989|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07412067,Healing of Apicomarginal Defects Using Autograft or Allograft With Collagen Membrane,https://clinicaltrials.gov/study/NCT07412067,Not Yet Recruiting,Apicomarginal Defects,PROCEDURE: Guided tissue regeneration,Postgraduate Institute of Dental Sciences Rohtak,Post Graduate Institute of Dental Sciences,INTERVENTIONAL
NCT07411118,RCT of EFTR Versus STER for GIST Treatment,https://clinicaltrials.gov/study/NCT07411118,Recruiting,Small Size Gastrointestinal Stromal Tumors|GIST,PROCEDURE: Endoscopic full thickness resection (EFTR) / Exposed non-tunneling EFTR|PROCEDURE: Submucosal Tunneling Endoscopic Resection (STER) / Exposed tunneling EFTR,Chinese University of Hong Kong,"Fudan University|Osaka International Cancer Institute|Asian Institute of Gastroenterology, India",INTERVENTIONAL
NCT07410507,A Study of Brenipatide in Adult Participants With Schizophrenia,https://clinicaltrials.gov/study/NCT07410507,Not Yet Recruiting,Schizophrenia,DRUG: Brenipatide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07409181,A Study to Test Whether Different Doses of BI 3000202 Help People With Systemic Lupus Erythematosus (SLE),https://clinicaltrials.gov/study/NCT07409181,Not Yet Recruiting,Systemic Lupus Erythematosus,DRUG: BI 3000202|DRUG: Placebo,Boehringer Ingelheim,Not available,INTERVENTIONAL
NCT07405905,EVALUATION OF TREATMENT CHANGES IN CLASS II DIVISION 1 MALOCCLUSION DURING EN MASSE RETRACTION OF UPPER ANTERIOR TEETH USING MINI IMPLANTS PLACED AT INFRAZYGOMATIC CREST AND INTERRADICULAR SITES A RANDOMIZED CLINICAL TRIAL.,https://clinicaltrials.gov/study/NCT07405905,Recruiting,CLASS II DIVISION 1 MALOCCLUSION,PROCEDURE: retraction of anterior teeth using mini implants placed at infrazygomatic crest.|PROCEDURE: retraction of anterior teeth using mini implants placed at interradicular sites.,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07404176,Study to Assess the Safety and Effectiveness of Novel Radiopharmaceutical Terbium-161 DOTATATE in Metastatic Neuroendocrine Tumors,https://clinicaltrials.gov/study/NCT07404176,Recruiting,Neuroendocrine Neoplasms (Tumours)|Neuroendocrine Tumors|Metastatic Neuroendocrine Tumors,DRUG: Terbium 161,Tata Memorial Hospital,Not available,INTERVENTIONAL
NCT07403019,Burden of Respiratory Viruses in India.,https://clinicaltrials.gov/study/NCT07403019,Not Yet Recruiting,Pneumonia,DIAGNOSTIC_TEST: Nasopharyngeal swab for viral analysis,MAHAN Trust,Not available,OBSERVATIONAL
NCT07401667,Comparison of Connective Tissue Graft Versus Titanium Papillary Inserts in the Surgical Reconstruction of Interdental Papilla.,https://clinicaltrials.gov/study/NCT07401667,Completed,Papilla Reconstruction,DEVICE: TITANIUM INSERTS|PROCEDURE: CONNECTIVE TISSUE GRAFT,Dr R Viswa Chandra,SVS Institute of Dental Sciences,INTERVENTIONAL
NCT07401329,Early and Late Neutrophil CD64 and Monocyte HLA-DR as Biomarkers for Septic Shock,https://clinicaltrials.gov/study/NCT07401329,Completed,Sepsis|Septic Shock,Not available,"Pandit Bhagwat Dayal Sharma, PGIMS, Rohtak",Not available,OBSERVATIONAL
NCT07400809,"Cervical Cancer Oligo States (Recurrence, Metastasis) Multicentre Outcomes Study.",https://clinicaltrials.gov/study/NCT07400809,Recruiting,Chemotherapy|Treatment Compliance|Radiotherapy|Cervix Cancer|Surgery|Recurrent|Metastasis,OTHER: Not applicable- observational study,Tata Memorial Hospital,Erasmus Medical Center,OBSERVATIONAL
NCT07400133,Assessing Feasibility of a Digital Health Intervention for Multiple Long-Term Condition Care in Primary Health Settings in India and Nepal,https://clinicaltrials.gov/study/NCT07400133,Not Yet Recruiting,"Diseases of the Circulatory System|Diseases of the Respiratory System|Endocrine, Nutritional and Metabolic Diseases|Mental, Behavioral and Neurodevelopmental Disorders|Diseases of the Musculoskeletal System and Connective Tissue|Diseases of the Eye and Adnexa|Diseases of the Ear and Mastoid Process",OTHER: Electronic Decision Support System (EDSS)|OTHER: Assisted telemedicine|OTHER: Patient facing mobile app and Community champions (Care coordinators),"Centre for Chronic Disease Control, India","All India Institute of Medical Sciences, Jodhpur|Kathmandu Medical College and Teaching Hospital",OBSERVATIONAL
NCT07400107,AMAZE 8: A Research Study Investigating How Well the Medicine NNC0487-0111 Compared to Semaglutide Helps People With Excess Body Weight and Type 2 Diabetes Lose Weight,https://clinicaltrials.gov/study/NCT07400107,Not Yet Recruiting,"Obesity|Overweight|Diabetes Mellitus, Type 2",DRUG: NNC0487-0111|DRUG: Semaglutide|DRUG: Placebo (matched to NNC0487-0111)|DRUG: Placebo (matched to semaglutide),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT07399652,Artificial Intelligence-Guided Detection of Blood Vessels to Enhance Safety in Third-Space Endoscopic Procedures,https://clinicaltrials.gov/study/NCT07399652,Recruiting,Achalasia Cardia|Tumor,DEVICE: AI generated segmentation mask for sub-mucosal blood vessels,"Asian Institute of Gastroenterology, India",Not available,INTERVENTIONAL
NCT07398313,Effect of Prehabilitation on Recovery Outcomes in Post-Surgical Cervical Cancer Women,https://clinicaltrials.gov/study/NCT07398313,Completed,Cervical Adenocarcinoma|Hysterectomy|Cervical Cancer,BEHAVIORAL: Structured Prehabilitation Protocol|BEHAVIORAL: Conventional,Saveetha University,Not available,INTERVENTIONAL
NCT07396610,Effect of Diode Laser and Bioactive Glass on Dentinal Hypersensitivity,https://clinicaltrials.gov/study/NCT07396610,Completed,Dentinal Hypersensitivity,DEVICE: 810-nm Diode Laser|DRUG: Bioactive Glass (NovaMin)|OTHER: Placebo,King Khalid University,Not available,INTERVENTIONAL
NCT07395778,Nasojejunal Feeding Versus Oral Feeding Following Endoscopic Drainage of Walled Off Pancreatic Necrosis,https://clinicaltrials.gov/study/NCT07395778,Recruiting,Walled Off Pancreatic Necrosis|Acute Pancreatitis (AP)|Endoscopic Ultrasound-Guided Drainage,PROCEDURE: endoscopic ultrasonography guided cystogastrostomy,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT07395635,Phase II Trial of Immunonutrition in Hepatectomy,https://clinicaltrials.gov/study/NCT07395635,Recruiting,Hepatocellular Carcinoma|ASA I-III Patients,DIETARY_SUPPLEMENT: Immunonutrition,Tata Memorial Centre,Not available,INTERVENTIONAL
NCT07395531,Effect of Repetitive Bihemispheric Anodal Transcranial Direct Current Stimulation on Motor Function of Patients With Parkinson's Disease,https://clinicaltrials.gov/study/NCT07395531,Not Yet Recruiting,PARKINSON DISEASE (Disorder)|Parkinson Disease,DEVICE: Transcranial Direct Current Stimulation|DEVICE: Transcranial Direct Current Stimulation,Dr. Ram Manohar Lohia Hospital,Not available,INTERVENTIONAL
NCT07395141,Albumin in Acute Variceal Bleeding,https://clinicaltrials.gov/study/NCT07395141,Not Yet Recruiting,Acute Variceal Bleeding|Cirrhosis,DRUG: Albumin,King George's Medical University,Not available,INTERVENTIONAL
NCT07392190,A Study of Eloralintide (LY3841136) in Participants With Persistent Obesity Who Are Treated With a Weekly Incretin,https://clinicaltrials.gov/study/NCT07392190,Recruiting,Overweight|Obesity,DRUG: Eloralintide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07391267,Pathogenesis of Chronic Kidney Disease Associated With Metabolic Dysfunction- Associated Fatty Liver Disease (MAFLD) and Treatment Response of Oral Semaglutide.,https://clinicaltrials.gov/study/NCT07391267,Not Yet Recruiting,Chronic Kidney Diseases|MAFLD,DRUG: Semaglutide Oral Tablet|OTHER: Placebo|OTHER: Standard medical treatment,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT07389291,Effect of Liuzijue and Box Breathing on Inspiratory Capacity and Blood Pressure After Femoral Neck Fracture Immobilization,https://clinicaltrials.gov/study/NCT07389291,Completed,Femoral Neck Fractures|Breathing Exercises|Inspiratory Capacity|Blood Pressure,OTHER: Liuzijue Qi Gong Exercise|OTHER: Box Breathing Technique,Saveetha University,Not available,INTERVENTIONAL
NCT07387016,Self-Mobilization With SNAGs Vs. DIE on CMNP in Computer Professionals,https://clinicaltrials.gov/study/NCT07387016,Completed,Chronic Mechanical Neck Pain,OTHER: Self-applied Sustained Natural Apophyseal Glides|OTHER: Dynamic Isometric Exercise|OTHER: Conventional Adjuncts,King Saud University,"PIPRAMS, Greater Noida, Uttar Pradseh, India",INTERVENTIONAL
NCT07385911,A Clinical Trial to Study the Effects on the Olfaction Capacity of an Individual Undergoing Skull Base Surgeries Using Cautery vs Scalpel .,https://clinicaltrials.gov/study/NCT07385911,Recruiting,Olfaction,PROCEDURE: Scalpel|PROCEDURE: Cautery,"All India Institute of Medical Sciences, Jodhpur",Not available,INTERVENTIONAL
NCT07381595,Role of Subgingival Instrumentation in Oral Lichen Planus,https://clinicaltrials.gov/study/NCT07381595,Not Yet Recruiting,Oral Lichen Planus,PROCEDURE: subgingival instrumentation,Postgraduate Institute of Dental Sciences Rohtak,Not available,INTERVENTIONAL
NCT07378033,Body Fat Reduction and Weight Management,https://clinicaltrials.gov/study/NCT07378033,Enrolling By Invitation,Obesity & Overweight,DIETARY_SUPPLEMENT: Dietary Supplement|OTHER: Placebo Control,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07377994,To Evaluate the Effect of Bacillus Coagulans Based Product in Gut Health and Immunomodulatory Effect in Healthy Adults,https://clinicaltrials.gov/study/NCT07377994,Enrolling By Invitation,Healthy Subjects (HS),DIETARY_SUPPLEMENT: Probiotic (Bacillus Coagulans)|OTHER: Placebo,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07377942,To Evaluate the Effect of Bacillus Subtilis Based Product in Gut Health and Immunomodulatory Effect in Healthy Adults.,https://clinicaltrials.gov/study/NCT07377942,Enrolling By Invitation,Healthy Participants Study,DIETARY_SUPPLEMENT: Probiotics (Bacillus Subtilis)|OTHER: Placebo,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
NCT07372118,Bioequivalence Study to Compare Empagliflozin / Metformin 25 mg/ 1000 mg Extended-Release Tablet Versus Synjardy XR Tablets 25mg/1000mg in Fast Condition,https://clinicaltrials.gov/study/NCT07372118,Completed,Type 2 Diabetes Mellitus (T2DM),DRUG: Empagliflozin / Metformin HCl XR Tablets|DRUG: Synjardy® XR (empagliflozin and metformin hydrochloride extended-release Tablets),Humanis Saglık Anonim Sirketi,Not available,INTERVENTIONAL
NCT07371832,A Single Center Evaluation of AI Enabled SureForm Robotic Stapler (SureformTM) Compared to Conventional Stapler for Colorectal Cancer Procedures,https://clinicaltrials.gov/study/NCT07371832,Recruiting,Colorectal Cancer,DEVICE: AI-enabled SureForm™ Robotic Stapler|DEVICE: Conventional Laparoscopic Stapler,"Asian Institute of Gastroenterology, India",Not available,OBSERVATIONAL
NCT07369011,A Study of Eloralintide (LY3841136) in Participants With Obstructive Sleep Apnea and Obesity or Overweight,https://clinicaltrials.gov/study/NCT07369011,Recruiting,"Sleep Apnea, Obstructive|Obesity|Overweight",DRUG: Eloralintide|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT07367334,"Effects of MMV Exercise With and Without Verbal Guidance on Shoulder Movement, Fatigue, and Stress in Breast Cancer Survivors",https://clinicaltrials.gov/study/NCT07367334,Completed,Breast Cancer Survivors|Range of Motion|Cortisol|Shoulder Dysfunction|Fatigue After Adjuvant Breast Cancer Treatment,OTHER: Multimodal Exercise Rehabilitation With Verbal Cueing|OTHER: Multimodel Exercises Rehabilitation without Verbal cues,Saveetha University,Not available,INTERVENTIONAL
NCT07364097,A Study of Silent Alarm Delivery Versus Standard Audible Alarm Delivery in Intensive Care and High Dependency Units,https://clinicaltrials.gov/study/NCT07364097,Active Not Recruiting,"Delirium in the Intensive Care Unit|Burnout, Healthcare Workers|Noise in the ICU|Alarm Fatigue|Alarm Fatigue in Intensive Care Unit Nurses|Alarms|Nursing Workload",OTHER: Silent alarm strategy,MindWave Medical Inc,Not available,INTERVENTIONAL
NCT07361510,A Study to Evaluate the Efficacy of Pumitamig Versus Pembrolizumab in Participants With Previously Untreated Advanced Non-Small Cell Lung Cancer and PD-L1 ≥ 50%. (ROSETTA Lung-202),https://clinicaltrials.gov/study/NCT07361510,Not Yet Recruiting,Non-Small Cell Lung Cancer (NSCLC),DRUG: Pumitamig|DRUG: Pembrolizumab,Bristol-Myers Squibb,BioNTech SE,INTERVENTIONAL
NCT07361497,A Study to Evaluate Pumitamig Versus Durvalumab Following Concurrent Chemoradiation Therapy in Participants With Unresectable Stage III Non-small Cell Lung Cancer (NSCLC) (ROSETTA Lung-201),https://clinicaltrials.gov/study/NCT07361497,Not Yet Recruiting,Non-small Cell Lung Cancer (NSCLC),DRUG: Pumitamig|DRUG: Durvalumab,Bristol-Myers Squibb,BioNTech SE,INTERVENTIONAL
NCT07361302,A Study to Test if Tenecteplase Helps People to Recover From an Acute Stroke When Given More Than 4.5 Hours After the Person Was Last Seen Well,https://clinicaltrials.gov/study/NCT07361302,Recruiting,Acute Ischemic Stroke,DRUG: Tenecteplase|DRUG: Standard of care treatment,Boehringer Ingelheim,Not available,INTERVENTIONAL
NCT07360730,High-Purity Type I Collagen Nerve Wrapping in Peripheral Nerve Procedures: A Prospective Registry,https://clinicaltrials.gov/study/NCT07360730,Recruiting,"Peripheral Nerve Injuries|Neuroma of Nerve Repair|Nerve Graft; Complications, Mechanical|Peripheral Nerve Decompression Injury|Neuroma",DEVICE: High-Purity Type I Collagen (HPTC) Nerve Wrap,"Adichunchanagiri Institute of Medical Sciences, B G Nagara",Mysore Medical College and Research Institute,INTERVENTIONAL
NCT07360717,To Compare the Efficacy & Safety of Ultra-Slow (24 hr) Low Dose (25 mg) Infusion of Alteplase Over Slow (24hr) Infusion of Streptokinase in Mechanical Prosthetic Valve Thrombosis,https://clinicaltrials.gov/study/NCT07360717,Completed,Thrombolysed,DRUG: Alteplase|DRUG: streptokinase,U. N. Mehta Institute of Cardiology and Research Center,Not available,INTERVENTIONAL
NCT07360691,Early Clinical Outcomes of High-Purity Type I Collagen as a Biologic Reinforcement in Selected Hernia Repair Scenarios,https://clinicaltrials.gov/study/NCT07360691,Recruiting,Hernia|Ventral Hernia|Incisional Hernia|İnguinal Hernia|Abdominal Wall Hernia|Surgical Site Infection|Postoperative Complications,DEVICE: High-Purity Type I Collagen Mesh,"Adichunchanagiri Institute of Medical Sciences, B G Nagara",Not available,INTERVENTIONAL
NCT07359508,Effect of Desflurane v/s Propofol on the Optic Nerve Sheath Diameter,https://clinicaltrials.gov/study/NCT07359508,Completed,Propofol Target-controlled Infusion|Desflurane|Optic Nerve Sheath Diameter,DRUG: Desflurane|DRUG: Propofol (Group P),All India Institute of Medical Sciences,"All India Institute of Medical Sciences, Raebareli, UP",INTERVENTIONAL
NCT07359222,Vis Pre Surgery Medical Food Validation Study,https://clinicaltrials.gov/study/NCT07359222,Terminated,Pre-surgical Anxiety|Blood Glucose Concentration|Blood Cortisol Levels|Electrolyte Levels|HbA1c|Surgical Infections|Wound Healing Time|Hospital Stay Time|Readmittance Rate|Mortality,OTHER: Pre-surgical medical food,TM Nutrition LLC,National University of Natural Medicine,INTERVENTIONAL
NCT07355725,To Evaluate the Efficacy of Lutemax 2020 on Vision and Cognitive Performance in Health Children.,https://clinicaltrials.gov/study/NCT07355725,Completed,Cognitive,DIETARY_SUPPLEMENT: Lutemax 2020 gummies|OTHER: Placebo,Bioagile Therapeutics Pvt. Ltd.,Not available,INTERVENTIONAL
